candidate_id,rank,score,reasoning
CAND_0064888,17,0.7343,"ML Engineer at Verloop.io, 5.8 yrs, Vizag, Andhra Pradesh. Matched: embeddings (intermediate, 30mo); vector-DB/search (advanced, 49mo); ranking-eval/NDCG (intermediate, 28mo). Saved by 37 recruiters in 30d (market-validated)."
CAND_0007009,18,0.7296,"Recommendation Systems Engineer at Wysa, 7.9 yrs, Noida, Uttar Pradesh. Matched: embeddings (expert, 44mo); vector-DB/search (expert, 40mo); Python (expert, 95mo). Caution: 102d inactive. Saved by 5 recruiters in 30d (market-validated)."
CAND_0028793,19,0.7259,"Search Engineer at Google, 7.2 yrs, Trivandrum, Kerala. Matched: embeddings (expert, 78mo); vector-DB/search (advanced, 52mo); ranking-eval/NDCG (advanced, 58mo). Saved by 43 recruiters in 30d (market-validated)."
CAND_0050876,20,0.7153,"Applied ML Engineer at Freshworks, 6.0 yrs, Kolkata, West Bengal. Matched: embeddings (expert, 70mo); vector-DB/search (advanced, 28mo); Python (expert, 66mo)."
CAND_0006418,21,0.6978,"Machine Learning Engineer at Verloop.io, 5.7 yrs, Gurgaon, Haryana. Matched: embeddings (expert, 71mo); vector-DB/search (expert, 93mo); ranking-eval/NDCG (expert, 53mo). Saved by 9 recruiters in 30d (market-validated)."
CAND_0041610,22,0.6780,"Recommendation Systems Engineer at Zoho, 6.7 yrs, Indore, Madhya Pradesh. Matched: embeddings (advanced, 55mo); vector-DB/search (expert, 94mo); ranking-eval/NDCG (expert, 74mo). Saved by 18 recruiters in 30d (market-validated)."
CAND_0061265,23,0.6769,"Recommendation Systems Engineer at Zoho, 6.6 yrs, Delhi, Delhi. Matched: embeddings (expert, 57mo); vector-DB/search (expert, 76mo); ranking-eval/NDCG (expert, 84mo). Caution: 96d inactive. Saved by 24 recruiters in 30d (market-validated)."
CAND_0071974,24,0.6711,"Senior AI Engineer at Netflix, 7.8 yrs, Vizag, Andhra Pradesh. Matched: embeddings (expert, 46mo); vector-DB/search (expert, 61mo); ranking-eval/NDCG (advanced, 45mo). Saved by 50 recruiters in 30d (market-validated)."
CAND_0005260,25,0.6356,"Senior NLP Engineer at Netflix, 5.2 yrs, Chennai, Tamil Nadu. Matched: embeddings (expert, 95mo); vector-DB/search (advanced, 21mo); Python (expert, 43mo). Saved by 11 recruiters in 30d (market-validated)."
CAND_0067866,26,0.6314,"Senior Software Engineer (ML) at Tech Mahindra, 6.4 yrs, Noida, Uttar Pradesh. Matched: embeddings (advanced, 50mo); vector-DB/search (advanced, 55mo). Saved by 26 recruiters in 30d (market-validated)."
CAND_0029367,27,0.6303,"Senior Data Scientist at Rephrase.ai, 5.7 yrs, Bangalore, Karnataka. Matched: embeddings (expert, 95mo); vector-DB/search (expert, 90mo). Saved by 7 recruiters in 30d (market-validated)."
CAND_0096172,28,0.6300,"NLP Engineer at Krutrim, 5.2 yrs, Chennai, Tamil Nadu. Matched: embeddings (advanced, 24mo); vector-DB/search (expert, 44mo); Python (advanced, 43mo). Saved by 11 recruiters in 30d (market-validated)."
CAND_0011162,29,0.6282,"Recommendation Systems Engineer at upGrad, 5.8 yrs, Coimbatore, Tamil Nadu. Matched: embeddings (advanced, 56mo); vector-DB/search (expert, 94mo); Python (advanced, 37mo). Saved by 63 recruiters in 30d (market-validated)."
CAND_0083307,30,0.6234,"Search Engineer at CRED, 7.8 yrs, Vizag, Andhra Pradesh. Matched: embeddings (expert, 83mo); vector-DB/search (expert, 76mo); Python (expert, 88mo). Caution: 100d inactive. Saved by 28 recruiters in 30d (market-validated)."
CAND_0007596,31,0.6158,"Junior ML Engineer at Flipkart, 4.4 yrs, Delhi, Delhi. Matched: vector-DB/search (advanced, 22mo); Python (intermediate, 32mo). Saved by 15 recruiters in 30d (market-validated)."
CAND_0030348,32,0.6137,"Machine Learning Engineer at BYJU'S, 4.5 yrs, Noida, Uttar Pradesh. Matched: embeddings (advanced, 35mo); vector-DB/search (advanced, 47mo); Python (expert, 94mo). Caution: 91d inactive. Saved by 18 recruiters in 30d (market-validated)."
CAND_0054546,33,0.6085,"AI Research Engineer at Razorpay, 4.9 yrs, Pune, Maharashtra. Matched: vector-DB/search (advanced, 42mo); ranking-eval/NDCG (intermediate, 26mo). Saved by 41 recruiters in 30d (market-validated)."
CAND_0018722,34,0.5990,"Recommendation Systems Engineer at Saarthi.ai, 6.6 yrs, Toronto. Matched: vector-DB/search (expert, 86mo); Python (expert, 51mo). Saved by 16 recruiters in 30d (market-validated)."
CAND_0073620,35,0.5970,"AI Research Engineer at TCS, 4.4 yrs, Noida, Uttar Pradesh. Matched: embeddings (intermediate, 9mo); vector-DB/search (advanced, 42mo); Python (advanced, 23mo). Saved by 11 recruiters in 30d (market-validated)."
CAND_0052682,36,0.5964,"NLP Engineer at Aganitha, 6.6 yrs, Vizag, Andhra Pradesh. Matched: embeddings (expert, 50mo); vector-DB/search (expert, 76mo); Python (expert, 81mo). Caution: 93d inactive. Saved by 16 recruiters in 30d (market-validated)."
CAND_0091909,37,0.5955,"Machine Learning Engineer at Rephrase.ai, 6.9 yrs, Bangalore, Karnataka. Matched: embeddings (expert, 57mo); vector-DB/search (expert, 84mo); ranking-eval/NDCG (advanced, 56mo). Caution: 103d inactive. Saved by 64 recruiters in 30d (market-validated)."
CAND_0043637,38,0.5953,"Junior ML Engineer at Rephrase.ai, 5.5 yrs, Delhi, Delhi. Matched: vector-DB/search (advanced, 32mo); ranking-eval/NDCG (advanced, 55mo). Saved by 45 recruiters in 30d (market-validated)."
CAND_0065195,39,0.5934,"Search Engineer at CRED, 5.1 yrs, Kolkata, West Bengal. Matched: vector-DB/search (expert, 89mo); ranking-eval/NDCG (advanced, 52mo). Saved by 13 recruiters in 30d (market-validated)."
CAND_0010149,40,0.5822,"ML Engineer at Glance, 6.9 yrs, Bangalore, Karnataka. Matched: vector-DB/search (advanced, 49mo); ranking-eval/NDCG (advanced, 36mo). Saved by 45 recruiters in 30d (market-validated)."
CAND_0011687,41,0.5784,"Senior NLP Engineer at Niramai, 7.8 yrs, Indore, Madhya Pradesh. Matched: embeddings (expert, 56mo); vector-DB/search (expert, 92mo). Saved by 27 recruiters in 30d (market-validated)."
CAND_0062247,42,0.5759,"AI Engineer at Google, 7.3 yrs, Kochi, Kerala. Matched: vector-DB/search (expert, 37mo); ranking-eval/NDCG (advanced, 53mo). Saved by 9 recruiters in 30d (market-validated)."
CAND_0064326,43,0.5700,"Search Engineer at Sarvam AI, 7.6 yrs, Gurgaon, Haryana. Matched: vector-DB/search (advanced, 58mo); Python (expert, 60mo). Saved by 60 recruiters in 30d (market-validated)."
CAND_0070202,44,0.5686,"Machine Learning Engineer at BYJU'S, 5.1 yrs, Jaipur, Rajasthan. Matched: embeddings (expert, 67mo); vector-DB/search (expert, 54mo); ranking-eval/NDCG (advanced, 56mo). Saved by 28 recruiters in 30d (market-validated)."
CAND_0088025,45,0.5669,"Staff Machine Learning Engineer at Yellow.ai, 8.6 yrs, Jaipur, Rajasthan. Matched: vector-DB/search (advanced, 49mo); Python (expert, 63mo); ranking-eval/NDCG (expert, 90mo). Saved by 19 recruiters in 30d (market-validated)."
CAND_0096142,46,0.5620,"Applied ML Engineer at upGrad, 5.0 yrs, Hyderabad, Telangana. Matched: vector-DB/search (advanced, 58mo); Python (expert, 72mo). Saved by 18 recruiters in 30d (market-validated)."
CAND_0020708,47,0.5556,"Search Engineer at PolicyBazaar, 4.2 yrs, Indore, Madhya Pradesh. Matched: embeddings (expert, 54mo); vector-DB/search (advanced, 55mo); Python (expert, 45mo). Caution: 96d inactive. Saved by 52 recruiters in 30d (market-validated)."
CAND_0063585,48,0.5528,"AI Research Engineer at Observe.AI, 3.1 yrs, Noida, Uttar Pradesh. Matched: embeddings (intermediate, 22mo); vector-DB/search (advanced, 25mo); ranking-eval/NDCG (advanced, 20mo). Saved by 44 recruiters in 30d (market-validated)."
CAND_0063736,49,0.5491,"Data Scientist at Krutrim, 3.7 yrs, Vizag, Andhra Pradesh. Matched: embeddings (intermediate, 13mo); vector-DB/search (advanced, 38mo); ranking-eval/NDCG (intermediate, 16mo). Saved by 18 recruiters in 30d (market-validated)."
CAND_0044855,50,0.5372,"Senior Data Scientist at Flipkart, 6.6 yrs, Coimbatore, Tamil Nadu. Matched: embeddings (expert, 76mo); vector-DB/search (expert, 81mo); ranking-eval/NDCG (expert, 82mo). Saved by 43 recruiters in 30d (market-validated)."
CAND_0081686,51,0.5341,"Search Engineer at Netflix, 6.0 yrs, Austin. Matched: embeddings (expert, 59mo); vector-DB/search (expert, 49mo); Python (expert, 78mo). Saved by 47 recruiters in 30d (market-validated)."
CAND_0093912,52,0.5304,"Senior Data Scientist at Razorpay, 5.3 yrs, Chandigarh, Chandigarh. Matched: embeddings (expert, 61mo); vector-DB/search (expert, 61mo); ranking-eval/NDCG (advanced, 22mo). Saved by 56 recruiters in 30d (market-validated)."
CAND_0054318,53,0.5300,"AI Research Engineer at BYJU'S, 3.5 yrs, Chandigarh, Chandigarh. Matched: vector-DB/search (advanced, 60mo); Python (intermediate, 17mo). Saved by 27 recruiters in 30d (market-validated)."
CAND_0076163,54,0.5192,"NLP Engineer at Ola, 6.9 yrs, Chandigarh, Chandigarh. Matched: embeddings (advanced, 28mo); vector-DB/search (advanced, 18mo); Python (advanced, 25mo). Saved by 62 recruiters in 30d (market-validated)."
CAND_0092706,55,0.5142,"AI Research Engineer at Unacademy, 5.8 yrs, Delhi, Delhi. Matched: embeddings (advanced, 24mo); vector-DB/search (intermediate, 29mo). Saved by 47 recruiters in 30d (market-validated)."
CAND_0065786,56,0.5131,"AI Specialist at Swiggy, 4.9 yrs, Indore, Madhya Pradesh. Matched: vector-DB/search (advanced, 56mo); ranking-eval/NDCG (advanced, 47mo). Saved by 32 recruiters in 30d (market-validated)."
CAND_0042029,57,0.5107,"Senior Data Scientist at Flipkart, 6.5 yrs, Delhi, Delhi. Matched: embeddings (expert, 54mo); vector-DB/search (advanced, 54mo); ranking-eval/NDCG (advanced, 34mo). Saved by 16 recruiters in 30d (market-validated)."
CAND_0051004,58,0.5061,"Senior Data Scientist at CRED, 4.7 yrs, Delhi, Delhi. Matched: embeddings (advanced, 57mo); vector-DB/search (expert, 48mo)."
CAND_0094056,59,0.4928,"NLP Engineer at Rephrase.ai, 5.9 yrs, Chennai, Tamil Nadu. Matched: embeddings (advanced, 54mo); vector-DB/search (expert, 43mo); ranking-eval/NDCG (advanced, 58mo)."
CAND_0068811,60,0.4920,"Applied ML Engineer at Freshworks, 8.0 yrs, Pune, Maharashtra. Matched: embeddings (advanced, 30mo); vector-DB/search (expert, 79mo)."
CAND_0040887,61,0.4904,"Machine Learning Engineer at Netflix, 4.7 yrs, Toronto. Matched: vector-DB/search (advanced, 52mo); Python (expert, 84mo). Saved by 50 recruiters in 30d (market-validated)."
CAND_0003977,62,0.4887,"Recommendation Systems Engineer at Google, 4.6 yrs, Delhi, Delhi. Matched: embeddings (expert, 77mo); Python (expert, 79mo); ranking-eval/NDCG (expert, 81mo). Caution: 103d inactive. Saved by 53 recruiters in 30d (market-validated)."
CAND_0036184,63,0.4867,"Recommendation Systems Engineer at CRED, 6.0 yrs, Trivandrum, Kerala. Matched: embeddings (expert, 67mo); vector-DB/search (expert, 51mo). Saved by 30 recruiters in 30d (market-validated)."
CAND_0008295,64,0.4850,"AI Research Engineer at Razorpay, 6.5 yrs, Pune, Maharashtra. Matched: vector-DB/search (intermediate, 35mo); Python (advanced, 53mo). Saved by 31 recruiters in 30d (market-validated)."
CAND_0005538,65,0.4849,"Senior AI Engineer at Adobe, 5.9 yrs, Kolkata, West Bengal. Matched: vector-DB/search (expert, 91mo); Python (advanced, 38mo). Saved by 20 recruiters in 30d (market-validated)."
CAND_0033911,66,0.4829,"Data Scientist at Mad Street Den, 6.9 yrs, Delhi, Delhi. Matched: embeddings (advanced, 18mo); vector-DB/search (advanced, 22mo); ranking-eval/NDCG (advanced, 60mo). Saved by 14 recruiters in 30d (market-validated)."
CAND_0054123,67,0.4801,"Applied ML Engineer at Meta, 4.7 yrs, Gurgaon, Haryana. Matched: vector-DB/search (expert, 75mo); Python (advanced, 19mo). Saved by 11 recruiters in 30d (market-validated)."
CAND_0000031,68,0.4793,"Recommendation Systems Engineer at Swiggy, 6.0 yrs, Hyderabad, Telangana. Matched: embeddings (expert, 60mo); vector-DB/search (advanced, 35mo). Saved by 13 recruiters in 30d (market-validated)."
CAND_0099806,69,0.4774,"AI Engineer at Mad Street Den, 4.6 yrs, Bhubaneswar, Odisha. Matched: embeddings (expert, 89mo); vector-DB/search (advanced, 18mo). Saved by 9 recruiters in 30d (market-validated)."
CAND_0066999,70,0.4735,"Recommendation Systems Engineer at Microsoft, 5.9 yrs, Delhi, Delhi. Matched: embeddings (advanced, 32mo); vector-DB/search (expert, 48mo). Saved by 29 recruiters in 30d (market-validated)."
CAND_0017960,71,0.4713,"Recommendation Systems Engineer at Nykaa, 7.7 yrs, Bangalore, Karnataka. Matched: vector-DB/search (expert, 45mo); Python (advanced, 27mo). Saved by 43 recruiters in 30d (market-validated)."
CAND_0032179,72,0.4710,"Computer Vision Engineer at InMobi, 6.4 yrs, Sydney. Matched: embeddings (advanced, 29mo); vector-DB/search (advanced, 47mo); Python (intermediate, 10mo). Saved by 38 recruiters in 30d (market-validated)."
CAND_0013665,73,0.4680,"Senior Software Engineer (ML) at InMobi, 5.2 yrs, Trivandrum, Kerala. Matched: embeddings (intermediate, 31mo); vector-DB/search (advanced, 41mo); ranking-eval/NDCG (intermediate, 13mo)."
CAND_0064256,74,0.4680,"Junior ML Engineer at BYJU'S, 6.4 yrs, Kolkata, West Bengal. Matched: embeddings (intermediate, 29mo); Python (advanced, 26mo). Saved by 18 recruiters in 30d (market-validated)."
CAND_0012957,75,0.4649,"Search Engineer at Razorpay, 4.9 yrs, Chennai, Tamil Nadu. Matched: embeddings (expert, 44mo); vector-DB/search (advanced, 37mo); Python (expert, 91mo). Saved by 54 recruiters in 30d (market-validated)."
CAND_0046525,76,0.4647,"Senior Machine Learning Engineer at Genpact AI, 6.1 yrs, Pune, Maharashtra. Matched: embeddings (expert, 74mo); vector-DB/search (advanced, 31mo). Saved by 38 recruiters in 30d (market-validated)."
CAND_0086022,77,0.4609,"Senior Applied Scientist at Sarvam AI, 5.3 yrs, Kolkata, West Bengal. Matched: embeddings (expert, 71mo); vector-DB/search (advanced, 36mo). Saved by 53 recruiters in 30d (market-validated)."
CAND_0034164,78,0.4606,"Data Scientist at Haptik, 3.6 yrs, Hyderabad, Telangana. Matched: embeddings (advanced, 49mo); vector-DB/search (advanced, 46mo). Saved by 48 recruiters in 30d (market-validated)."
CAND_0020991,79,0.4557,"Junior ML Engineer at PhonePe, 4.9 yrs, Vizag, Andhra Pradesh. Matched: vector-DB/search (advanced, 24mo); Python (advanced, 33mo). Saved by 44 recruiters in 30d (market-validated)."
CAND_0030953,80,0.4525,"Search Engineer at Nykaa, 7.8 yrs, Chennai, Tamil Nadu. Matched: vector-DB/search (expert, 86mo); Python (advanced, 23mo); ranking-eval/NDCG (advanced, 51mo). Saved by 46 recruiters in 30d (market-validated)."
CAND_0098288,81,0.4479,"Junior ML Engineer at Vedantu, 6.7 yrs, Mumbai, Maharashtra. Matched: vector-DB/search (advanced, 52mo); Python (advanced, 50mo); ranking-eval/NDCG (advanced, 24mo). Caution: 130d inactive. Saved by 8 recruiters in 30d (market-validated)."
CAND_0010770,82,0.4477,"Recommendation Systems Engineer at Aganitha, 15.2 yrs, Kolkata, West Bengal. Matched: vector-DB/search (expert, 53mo); ranking-eval/NDCG (expert, 54mo). Saved by 12 recruiters in 30d (market-validated)."
CAND_0009691,83,0.4462,"Applied ML Engineer at LinkedIn, 6.2 yrs, Indore, Madhya Pradesh. Matched: embeddings (advanced, 29mo); vector-DB/search (expert, 63mo). Saved by 7 recruiters in 30d (market-validated)."
CAND_0035879,84,0.4461,"AI Research Engineer at Krutrim, 4.5 yrs, Noida, Uttar Pradesh. Matched: vector-DB/search (intermediate, 27mo); Python (advanced, 52mo). Saved by 37 recruiters in 30d (market-validated)."
CAND_0046064,85,0.4429,"Senior NLP Engineer at Salesforce, 8.9 yrs, Coimbatore, Tamil Nadu. Matched: vector-DB/search (expert, 85mo); Python (expert, 40mo). Saved by 25 recruiters in 30d (market-validated)."
CAND_0032216,86,0.4404,"ML Engineer at upGrad, 6.1 yrs, Chennai, Tamil Nadu. Matched: embeddings (advanced, 29mo); vector-DB/search (advanced, 23mo); ranking-eval/NDCG (advanced, 31mo). Saved by 42 recruiters in 30d (market-validated)."
CAND_0016163,87,0.4373,"Applied ML Engineer at Dream11, 6.7 yrs, Gurgaon, Haryana. Matched: embeddings (advanced, 48mo); vector-DB/search (expert, 36mo). Saved by 13 recruiters in 30d (market-validated)."
CAND_0059017,88,0.4312,"AI Research Engineer at PhonePe, 6.8 yrs, Ahmedabad, Gujarat. Matched: embeddings (advanced, 49mo); vector-DB/search (advanced, 27mo); Python (advanced, 40mo). Saved by 35 recruiters in 30d (market-validated)."
CAND_0024466,89,0.4211,"Search Engineer at PharmEasy, 5.2 yrs, Toronto. Matched: embeddings (expert, 60mo); vector-DB/search (advanced, 53mo). Saved by 5 recruiters in 30d (market-validated)."
CAND_0049540,90,0.4197,"ML Engineer at Saarthi.ai, 6.8 yrs, Trivandrum, Kerala. Matched: embeddings (advanced, 29mo); vector-DB/search (advanced, 19mo). Saved by 43 recruiters in 30d (market-validated)."
CAND_0051003,91,0.4169,"Senior Software Engineer (ML) at Genpact AI, 4.0 yrs, London. Matched: embeddings (intermediate, 10mo); vector-DB/search (intermediate, 29mo); ranking-eval/NDCG (advanced, 30mo). Saved by 41 recruiters in 30d (market-validated)."
CAND_0074648,92,0.4160,"AI Research Engineer at Flipkart, 4.1 yrs, Ahmedabad, Gujarat. Matched: embeddings (intermediate, 19mo); vector-DB/search (advanced, 60mo); Python (advanced, 27mo). Saved by 25 recruiters in 30d (market-validated)."
CAND_0099401,93,0.4122,"NLP Engineer at Dream11, 7.7 yrs, Ahmedabad, Gujarat. Matched: embeddings (expert, 63mo); vector-DB/search (expert, 71mo); Python (advanced, 40mo). Saved by 62 recruiters in 30d (market-validated)."
CAND_0087630,94,0.4101,"AI Engineer at Vedantu, 7.2 yrs, Gurgaon, Haryana. Matched: embeddings (expert, 74mo); vector-DB/search (advanced, 40mo); ranking-eval/NDCG (advanced, 44mo). Caution: 105d inactive. Saved by 64 recruiters in 30d (market-validated)."
CAND_0094685,95,0.4069,"AI Research Engineer at Krutrim, 3.5 yrs, Pune, Maharashtra. Matched: vector-DB/search (advanced, 30mo); Python (advanced, 48mo). Saved by 42 recruiters in 30d (market-validated)."
CAND_0098780,96,0.4059,"AI Research Engineer at Zomato, 5.9 yrs, Bangalore, Karnataka. Matched: embeddings (intermediate, 20mo); vector-DB/search (advanced, 55mo). Saved by 11 recruiters in 30d (market-validated)."
CAND_0049538,97,0.4039,"Applied ML Engineer at Saarthi.ai, 5.8 yrs, Jaipur, Rajasthan. Matched: embeddings (advanced, 35mo); vector-DB/search (expert, 64mo); ranking-eval/NDCG (expert, 47mo). Saved by 60 recruiters in 30d (market-validated)."
CAND_0043228,98,0.4024,"Applied ML Engineer at Zoho, 6.8 yrs, Chennai, Tamil Nadu. Matched: embeddings (expert, 82mo); vector-DB/search (advanced, 32mo); ranking-eval/NDCG (advanced, 29mo). Saved by 65 recruiters in 30d (market-validated)."
CAND_0057701,99,0.4008,"Recommendation Systems Engineer at Verloop.io, 4.1 yrs, Chandigarh, Chandigarh. Matched: vector-DB/search (expert, 53mo); Python (expert, 76mo); ranking-eval/NDCG (expert, 77mo). Saved by 9 recruiters in 30d (market-validated)."
CAND_0037944,100,0.4000,"Senior Data Scientist at Vedantu, 4.9 yrs, Jaipur, Rajasthan. Matched: embeddings (expert, 72mo); vector-DB/search (expert, 65mo); Python (expert, 96mo). Caution: 99d inactive. Saved by 17 recruiters in 30d (market-validated)."
